date,open,high,low,close
2023-06-01,5344.45,5395.0,5301.6,5354.8
2023-06-02,5366.05,5366.05,5200.0,5243.9
2023-06-05,5245.7,5326.95,5216.05,5312.65
2023-06-06,5312.0,5360.0,5257.4,5345.35
2023-06-07,5345.3,5409.0,5345.3,5376.15
2023-06-08,5376.15,5394.85,5340.6,5362.6
2023-06-09,5362.6,5432.65,5310.2,5375.55
2023-06-12,5399.0,5399.0,5361.1,5384.15
2023-06-13,5384.15,5448.95,5330.0,5365.75
2023-06-14,5392.6,5400.0,5320.05,5369.3
2023-06-15,5396.15,5416.45,5280.0,5300.3
2023-06-16,5308.05,5428.0,5285.1,5376.65
2023-06-19,5403.0,5500.0,5310.05,5442.25
2023-06-20,5445.0,5498.75,5440.0,5452.25
2023-06-21,5479.5,5520.0,5385.0,5420.5
2023-06-22,5440.0,5555.0,5425.0,5478.25
2023-06-23,5478.25,5520.0,5401.3,5429.6
2023-06-26,5498.0,5595.0,5440.05,5528.85
2023-06-27,5528.0,5580.0,5495.0,5508.95
2023-06-28,5549.95,5573.8,5406.0,5434.5
2023-06-30,5434.5,5490.05,5434.5,5479.8
2023-07-03,5479.8,5497.95,5441.05,5480.4
2023-07-04,5480.4,5750.0,5480.4,5645.1
2023-07-05,5700.0,5819.9,5665.0,5752.75
2023-07-06,5782.05,5791.0,5661.65,5670.1
2023-07-07,5694.9,5694.95,5640.65,5675.55
2023-07-10,5608.25,5691.8,5608.25,5656.9
2023-07-11,5660.0,5684.95,5540.0,5584.2
2023-07-12,5610.0,5675.0,5600.0,5655.85
2023-07-13,5654.45,5710.0,5520.0,5558.2
2023-07-14,5558.25,5600.95,5500.1,5577.2
2023-07-17,5577.2,5680.05,5539.95,5651.35
2023-07-18,5651.35,5759.95,5540.0,5600.9
2023-07-19,5679.95,5694.65,5540.05,5557.7
2023-07-20,5557.55,5697.4,5550.05,5673.85
2023-07-21,5660.0,5750.0,5571.65,5739.65
2023-07-24,5809.65,5809.65,5600.0,5699.8
2023-07-25,5601.0,5799.8,5600.0,5710.65
2023-07-26,5710.65,5798.95,5710.65,5771.7
2023-07-27,5800.0,5845.0,5769.4,5784.85
2023-07-28,5813.8,5849.95,5761.65,5818.3
2023-07-31,5830.0,5938.45,5581.3,5597.35
2023-08-01,5625.35,5646.0,5451.35,5480.85
2023-08-02,5499.95,5520.05,5421.4,5456.85
2023-08-03,5465.75,5589.0,5443.4,5554.55
2023-08-04,5555.0,5645.5,5555.0,5627.45
2023-08-07,5620.0,5683.8,5610.0,5659.65
2023-08-08,5700.0,5700.0,5620.05,5651.15
2023-08-09,5659.6,5700.0,5653.85,5697.3
2023-08-10,5708.85,5736.0,5679.2,5702.55
2023-08-11,5722.9,5731.1,5682.6,5700.3
2023-08-14,5700.0,5779.7,5610.1,5751.05
2023-08-16,5779.85,5899.0,5751.05,5808.45
2023-08-17,5879.75,5879.75,5810.0,5847.75
2023-08-18,5877.0,6022.75,5821.45,5996.7
2023-08-21,5998.0,6060.6,5990.0,6049.35
2023-08-22,6085.0,6097.0,5995.5,6075.6
2023-08-23,6075.6,6106.6,6001.05,6088.35
2023-08-24,6080.0,6275.0,6080.0,6250.35
2023-08-25,6229.45,6450.0,6211.2,6429.0
2023-08-28,6410.05,6889.0,6410.05,6845.8
2023-08-29,6775.0,6870.0,6683.0,6819.15
2023-08-30,6824.95,7000.0,6761.0,6952.7
2023-08-31,6900.0,7150.95,6871.0,7139.3
